UID;Paper ID;Title;Year.of.publication;Publication.venue.name;Publication.venue.type;Analysis.goal;Macro.analysis.goal;Paper.goal;Platform specific;Implementation;Static/Hybrid approach;Machine Learning;App artifact;Additional input;Analysis pre-steps;Analysis type;Stakeholder;Tool availability;# apps evaluated;Toy/Real apps;Industry involvement
1;59S;NeSeDroid-Android Malware Detection Based on Network Traffic and Sensitive Resource Accessing;2017;ICDECT;Conference;MALWARE;E;Q;A;A;H;1;APK;Methods of interest;1;FLOW ANALYSIS;D;0;H;R;M
2;61S;Analyzing Remote Server Locations for Personal Data Transfers in Mobile Apps;2017;PETS;Conference;PRIVACY;E;Q;G;A;H;0;APK;-;0;SLICING;A;0;L;R;A
3;65S;MaMaDroid: Detecting Android Malware by Building Markov Chains of Behavioral Models;2017;NDSS;Conference;MALWARE;E;Q;A;A;S;1;APK;-;0;MODEL BASED;A;1;L;R;A
4;100S;Ripple: Reflection Analysis for Android Apps in Incomplete Information Environments;2017;CODASPY;Conference;REFLECTION;M;I;A;A;S;0;APK;-;0;STRING ANALYSIS, TYPE INFERENCE, POINTS-TO ANALYSIS, FLOW ANALYSIS;D;1;H;R;A
5;27S;AndroDialysis: Analysis of Android Intent Effectiveness in Malware Detection;2017;Computers & Security;Journal;MALWARE;E;Q;A;A;S;1;APK;-;0;FLOW ANALYSIS, DATA MINING, CLASSIFICATION;A;0;L;R;A
6;44S;Profiling the responsiveness of Android applications via automated resource amplification;2016;MOBILESoft;Conference;PERFORMANCE;E;Q;A;A;H;0;SOURCE CODE;Methods of interest;0;FLOW ANALYSIS;D;0;H;R;A
7;45S;Detecting Invalid Layer Combinations Using Control-Flow Analysis for Android;2016;ECOOP;Workshop;TESTING;I;I;G;A;S;0;SOURCE CODE;Policies;0;FLOW ANALYSIS;D;0;H;R;A
8;46S;Graph-aided directed testing of Android applications for checking runtime privacy behaviours;2016;AST;Workshop;TESTING;I;I;A;A;H;0;APK;-;0;FLOW ANALYSIS;D;0;H;R;A
9;48S;Dexteroid: Detecting malicious behaviors in Android apps using reverse-engineered life cycle models;2016;Computers & Security;Journal;MALWARE;E;Q;A;A;S;0;APK;-;0;MODEL BASED;A;0;H;R;A
10;51S;IacDroid: Preventing Inter-App Communication capability leaks in Android;2016;ISCC;Conference;PRIVACY, INTER-COMPONENT COMMUNICATION;E, M;Q;A;A;H;0;APK;-;0;FLOW ANALYSIS;D;0;L;R;M
11;56S;Practical, formal synthesis and automatic enforcement of security policies for android;2016;DSN;Conference;PRIVACY;E;Q;A;A;S;1;APK;-;0;FLOW ANALYSIS, MODEL BASED;U;0;M;T;A
12;57S;CapaDroid: Detecting Capability Leak for Android Applications;2016;SpaCCS;Workshop;INTER-APP COMMUNICATION, PRIVACY;E, M;Q;A;A;H;0;APK;-;1;MODEL BASED, SYMBOLIC EXECUTION;A;0;H;T, R;A
13;58S;Asynchrony-aware static analysis of Android applications;2016;MEMOCODE;Conference;PRIVACY;E;Q;A;A;S;0;APK;-;0;FLOW ANALYSIS, TYPESTATE ANALYSIS;D, A;1;L;T;A
14;60S;Identifying Android inter app communication vulnerabilities using static and dynamic analysis;2016;MOBILESoft;Conference;INTER-APP COMMUNICATION, PRIVACY;E, M;Q;A;A;H;0;APK;-;0;TAINT ANALYSIS, FLOW ANALYSIS;D;1;M;T, R;A
15;63S;Towards Automatically Generating Privacy Policy for Android Apps;2016;IFS;Journal;PRIVACY;E;Q;A;A;S;1;APK;Platform description;1;FLOW ANALYSIS;D;0;L;T;A
16;64S;Revisiting the Description-to-Behavior Fidelity in Android Applications;2016;SANER;Conference;PRIVACY;E;Q;A;A;S;1;APK;Policies, App store descriptions;1;DATA MINING, CLASSIFICATION;D, A;0;H;T, R;A
17;70S;Triggerscope: Towards detecting logic bombs in android applications;2016;S&P;Conference;MALWARE;E;Q;A;A;S;0;APK;-;1;SYMBOLIC EXECUTION, FLOW ANALYSIS;A;0;H;T, R;A
18;75S;Automated test generation for detection of leaks in Android applications;2016;AST;Workshop;TESTING;I;Q;A;A;S;0;SOURCE CODE;-;0;FLOW ANALYSIS;D, A;1;L;R;A
19;76S;Automatic Construction of Callback Model for Android Application;2016;ICECCS;Conference;INTER-COMPONENT COMMUNICATION;M;I;A;A;S;0;SOURCE CODE;-;0;FLOW ANALYSIS;D, R;0;H;R;A
20;27;Automated energy optimization of HTTP requests for mobile applications;2016;ICSE;Conference;ENERGY;E;Q;G;A;S;0;APK;-;0;FLOW ANALYSIS;D;1;H;R;A
21;28;Understanding and detecting wake lock misuses for Android applications;2016;FSE;Conference;ENERGY;E;Q;A;A;S;0;APK;-;0;FLOW ANALYSIS;D;0;L;R;A
22;29;Taming Android fragmentation: characterizing and detecting compatibility issues for Android apps;2016;ASE;Conference;TESTING, PERFORMANCE;E, I;I;A;A;S;0;APK;Source code mappings;1;SLICING;D;1;H;R;A
23;31;Reflection-aware static analysis of Android apps;2016;ASE;Conference;REFLECTION;M;I;A;A;S;0;APK;-;0;FLOW ANALYSIS, CONSTANT PROPAGATION;D;0;H;R;A
24;33;Automated testing and notification of mobile app privacy leak-cause behaviours;2016;ASE;Conference;PRIVACY, TESTING;E, I;I;A;A;H;0;APK;-;0;FLOW ANALYSIS;D;1;L;T;A
